Perimeter,DimA,DimB,Roundness,AspectRatio,Area,MeanH,MeanS,MeanV,SeedType
1.307098288,-1.513516144,2.764306622,-0.095859931,-3.666272356,-0.095859931,-1.405555849,-0.365144135,2.629527369,ExtraneousMatter
2.741892652,6.125752611,-0.131104692,3.415818825,9.199177276,1.789805117,-1.007700451,0.480614193,-0.555336416,ExtraneousMatter
7.411616601,1.930212564,10.35327652,5.802526075,-3.52982278,4.176512367,-0.803250525,0.755384781,0.896852675,ExtraneousMatter
2.949885414,-0.063632664,4.063441702,4.415824214,-3.293503524,2.789810507,-1.369336085,0.308091172,0.026024603,ExtraneousMatter
7.632074979,3.705028706,9.255647824,10.83373822,-3.094059311,9.207724513,-1.200304855,0.391109574,-0.38053126,ExtraneousMatter
3.770246269,-0.127251373,5.752393929,5.498990135,-3.569941023,3.872976427,-1.149353649,0.733310735,-0.309280044,ExtraneousMatter
4.72095853,-0.050312183,7.463524938,4.220396966,-3.711285813,2.594383258,-1.462341521,0.13705882,0.161673499,ExtraneousMatter
8.439970229,-0.502997604,5.526804268,0.309772979,-3.655165827,-1.316240728,-1.460611875,-1.209100176,5.625166855,ExtraneousMatter
1.413373894,-0.513464646,2.423543008,3.0519915,-3.071801825,1.425977793,-1.142719546,0.558369709,-0.167137139,ExtraneousMatter
4.833680909,-0.010702882,7.195755033,6.482363418,-3.680361603,4.856349711,-1.279991745,0.615255105,-0.687355133,ExtraneousMatter
6.993137959,-0.500014963,4.477405674,0.241165541,-3.522824996,-1.384848167,-0.727130227,-0.950723376,3.658138479,ExtraneousMatter
2.043798868,-0.511218052,3.371558919,2.459472715,-3.328450951,0.833459007,-1.370061243,0.70053606,-0.384421433,ExtraneousMatter
7.632502772,7.525523119,-0.19463837,0.116424744,12.01381896,-1.509588964,-0.301961224,-0.887638277,2.455883978,ExtraneousMatter
0.322038373,0.808853882,0.162534924,2.286264937,0.321254671,0.660251229,0.113480474,0.835378675,-0.668469492,BlackPure
0.206864073,0.684898341,0.084655649,2.035281978,0.386655366,0.40926827,-1.234635916,1.007464933,-0.918680718,BlackPure
