perimeter,dimA,dimB,Roundness,AspectRatio,area,meanH,meanS,meanV,SeedType
1.655529311,5.299145299,5.057471264,2.68103024,1.047785548,2.133496076,1.052920962,3.495189003,2.110378007,Black_pure
1.570796321,5.128205128,4.827586207,2.386710499,1.062271062,1.899283868,0.551846154,3.688923077,1.988692308,Black_pure
1.677176818,5.299145299,5.057471264,2.740388843,1.047785548,2.180732151,1.081478992,4.454722689,2.181983193,Black_pure
1.696967266,5.368991034,5.101687591,2.698343165,1.052395102,2.147273265,0.817201365,4.256518771,2.359931741,Black_pure
1.514051267,4.786324786,4.597701149,2.260573468,1.041025641,1.798907208,0.515789474,3.861781377,2.272955466,Black_pure
1.744745635,5.498058816,5.274847773,2.849212948,1.042316111,2.267331623,1.501812298,3.84802589,1.920323625,Black_pure
1.640222201,5.299145299,4.827586207,2.68597679,1.097680098,2.137432416,0.483773585,4.261475129,2.262367067,Black_pure
1.561829637,4.957264957,4.597701149,2.292726044,1.078205128,1.824493416,0.634820717,3.095059761,2.104143426,Black_pure
1.577136734,4.615384615,5.287356322,2.510374256,0.872909699,1.997692359,1.021978022,3.42014652,2.14029304,Black_pure
1.6555293,5.47008547,4.827586207,2.631564737,1.133089133,2.09413268,0.524685315,4.328741259,2.435874126,Black_pure
1.712274361,5.062253981,5.86094197,2.856632774,0.863727027,2.273236133,1.248414239,4.134951456,2.178899676,Black_pure
1.692483919,5.381901365,5.027339708,2.69586989,1.070526696,2.145305095,0.49774744,4.18552901,2.304573379,Black_pure
1.655529298,5.641025641,4.597701149,2.611778536,1.226923077,2.078387321,0.858169014,2.584929577,1.829014085,Black_pure
1.723098123,5.721390759,5.213122055,2.859106049,1.097497948,2.275204302,0.687625202,4.768982229,2.526462036,Black_pure
1.723098128,5.299145299,5.747126437,3.056968059,0.922051282,2.432657887,0.504946889,4.323459788,2.228406677,Black_pure
1.649188893,5.229763604,5.140386155,2.577152684,1.017387302,2.050832944,0.733857143,2.527714286,1.961928571,Black_pure
