PerimeterDimA,,DimB,Roundness,AspectRatio,Area,MeanH,MeanS,MeanV,SeedType
0.727766819,0.992381699,0.452594412,0.813110636,0.733291952,0.813110636,0.741409902,0.19582115,0.809440331,WhitePure
1.18425412,1.246555796,0.752992705,1.099449636,0.548471332,1.099449636,0.767535765,0.046177525,0.830448631,WhitePure
-0.374290872,-0.278488788,-0.448600467,-0.396902561,0.403513984,-0.396902561,0.699793672,-0.295719687,1.394408578,WhitePure
0.529812193,0.484033504,0.452594412,0.531390006,-0.129204271,0.531390006,0.893053877,0.024604645,1.387470139,WhitePure
0.529812183,0.484033504,0.452594412,0.494443038,-0.129204271,0.494443038,0.936808134,-0.822434293,1.363907802,WhitePure
0.426399155,0.738207602,0.152196119,0.374365393,0.937567373,0.374365393,0.438615079,0.609484741,0.892822208,WhitePure
0.58151875,0.484033504,0.452594412,0.69303299,-0.129204271,0.69303299,0.417416348,-0.160152464,0.864342461,WhitePure
0.228444519,0.484033504,-0.148202174,0.166538698,1.164540063,0.166538698,0.872686121,-0.275762496,0.974649471,WhitePure
-0.322584358,-0.278488788,-0.448600467,-0.401520932,0.403513984,-0.401520932,1.316684909,-0.607019894,1.301772521,WhitePure
-0.249460287,-0.278488788,-0.148202174,-0.373810706,-0.272953642,-0.373810706,1.406184844,-0.640517689,2.143114245,WhitePure
-0.072923187,-0.024314691,-0.148202174,-0.115181931,0.206210927,-0.115181931,0.793172927,0.064051253,1.571295147,WhitePure
0.280151022,0.229859407,0.152196119,0.309708199,0.029676612,0.309708199,0.651014604,0.081147322,1.523334125,WhitePure
1.080841081,0.992381699,1.053390998,1.090212894,-0.403634888,1.090212894,0.245782168,0.834115882,0.142496684,WhitePure
-0.322584358,-0.278488788,-0.448600467,-0.34610048,0.403513984,-0.34610048,2.309271791,-1.603071086,1.740984221,WhitePure
0.706349325,0.992381699,0.152196119,0.660704393,1.391512753,0.660704393,1.76249751,-1.007348585,1.596993715,WhitePure
1.507039352,1.526310758,1.230239678,1.524339766,0.10213626,1.524339766,1.002350575,-0.29590856,1.063184025,WhitePure
0.90430396,1.246555796,0.452594412,0.729979958,1.164540063,0.729979958,0.739178866,0.24380413,0.996063706,WhitePure
0.831179878,0.992381699,0.452594412,0.850057603,0.733291952,0.850057603,1.206814146,-0.112070824,0.92357485,WhitePure
1.330502284,1.246555796,1.353789291,1.468919315,-0.522952547,1.468919315,0.523488253,0.484665897,0.435811651,WhitePure
1.412497733,1.500729894,0.752992705,1.510484653,0.95918382,1.510484653,0.374019771,0.515431013,0.061426072,WhitePure
-0.301166801,-0.024314691,-0.448600467,-0.323008625,0.910864703,-0.323008625,1.78505163,-0.810017202,2.090395402,WhitePure
